S No,Symptoms
3033,"cribriform scarring occurs, particularly on the face"
3034,Crigler Najjar Syndrome type 1
3035,Crigler Najjar Syndrome type 2
3036,Crigler-Najjar Syndrome/Hyperbilirubinemia
3037,Crigler-Najjar Syndrome/Hyperbilirubinemia(Liver)
3038,crippling  deformities
3039,Crohn disease
3040,Crohns Disease
3041,Crohn's disease
3042,CROHN'S DISEASE
3043,CROOKED NOSE
3044,crop like lesions
3045,"crops of clear, thin-walled, superficial vesicles 1–2 mm in diameter, without associated erythema,  resembling drops of water"
3046,crops of painful red lumps and streaks in the skin.
3047,Cross-sensitivity
3048,Croup
3049,croupy cough
3050,Crowe-Beck Test
3051,crown of jewels sign is positive
3052,CRUSH INJURY AND SYNDROME
3053,CRUSH INJURY TO THE HAND
3054,crusted erosions
3055,crusting of the skin
3056,crusts and scales cover an area of skin erosion or excoriation.
3057,Crusty erosions are evident on the gingival  surface and mucosal surface of the lip
3058,CRVO
3059,Cryoglobulinaemia
3060,Cryoglobulinaemic vasculitis
3061,cryptococcal meningitis
3062,Cryptococcosis
3063,cryptococcus
3064,Cryptococcus neoformans
3065,cryptomenorrhea
3066,cryptorchidism
3067,cryptosporidiosis
3068,crystal deposition
3069,crystalline nephropathy
3070,Crystalluria
3071,crystaluria
3072,CSF RHINORRHOEA
3073,Cubitus valgus deformity
3074,Cullens sign
3075,Cumulative ototoxicity
3076,CUNJUCTIVAL EDEMA
3077,CUPPING
3078,curly  hair
3079,CUSHING DISEASE
3080,CUSHING SYNDROME
3081,Cushing syndrome
3082,Cushings syndrome
3083,Cutaneo-mucosal venous malformation
3084,Cutaneous  lupus erythematosus
3085,Cutaneous amyloidoses due to systemic disease(1531
3086,cutaneous amyloidosis
3087,Cutaneous candidiasis
3088,Cutaneous Crohn disease
3089,Cutaneous endometriosis
3090,Cutaneous epithelioid angiomatous nodule
3091,Cutaneous eruptions
3092,cutaneous flushing
3093,Cutaneous focal mucinosis
3094,cutaneous fragility
3095,cutaneous haemorrhage 
3096,Cutaneous haemosiderosis
3097,"cutaneous hyperpigmentation  (of the face, nails, palmar creases and flexural surfaces)"
3098,Cutaneous larva migrans
3099,Cutaneous Leishmaniasis
3100,cutaneous leishmaniasis
3101,cutaneous lesions
3102,"Cutaneous lesions commonly present in the extremities,  most often on the feet and occasionally on the hands, ears or  nose"
3103,"cutaneous lesions consist of crops of minute bluish papules, vesicles, pustules or haemorrhagic lesions in a patient who  is obviously ill"
3104,"cutaneous lesions may occur on the vagina, vulva and perineum"
3105,"Cutaneous lesions:  • Localized absence of skin, usually on a limb  • Scars, often of dermatomal outline  • Papular lesions resembling connective tissue naevi"
3106,cutaneous livedo
3107,cutaneous metastases
3108,cutaneous necrosis
3109,cutaneous pigmentation
3110,cutaneous polyarteritis nodosa
3111,cutaneous small vessel  vasculitis syndrome
3112,Cutaneous small-vessel vasculitis
3113,cutaneous syndrome
3114,Cutaneous T-cell lymphoma
3115,"Cutaneous tumours are usually small, but deeper lesions are  often several centimetres in diameter. Pain is a frequent complaint"
3116,cutaneous vasculitis
3117,cutaneous vasodilatation
3118,Cutaneous warts
3119,cutis laxa
3120,cvs- Tachycardia; per abdomen- Splenomegaly
3121,cvs: heart murmur are typically absent
3122,cvs: over active pericordial impuse
3123,cvs-RV tap along left sternal border
3124,cyanopsia
3125,cyanosis
3126,Cyanosis and a prominent 2nd heart sound
3127,cyclic respiration
3128,Cyclical centrifugal peeling (sometimes preceded by erythema multiforme-like papules) at several sites on the  palms and soles
3129,CYCLICAL PAIN
3130,cyclin-dependent kinase inhibitor 2A (CDKN2A) mutation
3131,Cyclitic membrane
3132,cycloplegia
3133,cyclosporiasis
3134,Cylindroma
3135,cylindruria
3136,cyproheptadine
3137,CYPs
3138,cyst
3139,Cyst formation
3140,CYST RUPTURE
3141,Cystadenoma
3142,Cystathioninuria
3143,Cystic degeneration
3144,cystic dilatation of endometrial glands
3145,CYSTIC FIBROSIS
3146,cystic hygroma
3147,cystic hygroma
3148,Cystic sebaceous tumour
3149,cystic swelling in back
3150,cystic translucent lesion seen  in the floor of mouth on one side of the frenulum
3151,Cystic tumour
3152,Cystic tumour of the atrioventricular node
3153,Cysticercosis
3154,Cysticercosis dermatology
3155,CYSTINURIA
3156,Cystitis
3157,Cystoid degeneration
3158,cystoid macular edema
3159,Cystoid macular oedema
3160,CYSTOID MACULAR OEDEMA (CME)
3161,cystoid oedema
3162,CYSTS OF CONJUNCTIVA
3163,cytokine release syndrome
3164,Cytomegalovirus (CMV)
3165,Cytomegalovirus infection
3166,Cytomegalovirus Retinitis
3167,Cytopenia
3168,D-2-hydroxyglutaric aciduria
3169,D-2-hydroxyglutaric aciduria()
3170,Dacryoadenitis
3171,dactylitis
3172,dactylitis (sausage  fingers)
3173,Dalen-Fuch’s nodules
3174,damage latex contraceptives
3175,Damage to the liver and kidney
3176,Damage to the renal tubules
3177,Damage to the teeth
3178,DANON DISEASE
3179,Dapsone syndrome
3180,Darier disease
3181,Darier disease and Hailey–Hailey disease
3182,Darier's disease
3183,Dark adaptation affected
3184,Dark adaptation may be lowered
3185,dark circles under the eyes
3186,DARK EDGE OF THE LENS SEEN ON DDO
3187,dark red or brown urine
3188,dark red palatal discoloration and vesicles may occur  on the soft palate
3189,dark stools
3190,DARK URINE
3191,dark velvity patches on skin
3192,Darkening of eyelashes
3193,Darkening of the palpebral skin
3194,Darkening of the urine
3195,Darkening or blackening of the faces
3196,Darkening or blackening of the tongue
3197,dark-red macules on the buccal and genital  mucous membranes
3198,darting tongue
3199,day and night wetting
3200,Day blindness
3201,daydreaming
3202,DAYTIME SLEEPINESS
3203,DAYTIME SOMNOLENCE
3204,dazed feeling
3205,D-dimers
3206,de Musset sign
3207,de QUERVAIN'S TENOSYNOVITIS
3208,DEAF CHILD
3209,Deafness
3210,death
3211,death (in supratherapeutic doses)
3212,Death or needing liver transplantation
3213,debilitated patients
3214,dec. breath sound at affected side
3215,DECAYED ERUPTION OF TEETH
3216,deceleration of fetal heart rate pattern detected on continuous electronic fetal  monitoring
3217,Decline in lung function
3218,decline in school performance
3219,decompensated heart failure
3220,decompensated liver disease
3221,decorticate rigidity
3222,decrease ability to speak
3223,decrease ability to understand
3224,Decrease bone mineral density
3225,decrease cardiac output
3226,Decrease chemical effects
3227,Decrease effect of arrhythmia
3228,decrease Fetal movements  in late gestation
3229,decrease in glucose tolerance
3230,decrease in haemoglobin
3231,decrease in intra-ocular pressure
3232,Decrease in liver enzyme values
3233,Decrease in the partial thromboplastin time
3234,Decrease induration and allergen induced Wheal formation
3235,decrease level of consciousness
3236,decrease mouth opening
3237,Decrease prothrombin time
3238,DECREASE SENSATION
3239,Decrease visual acuity
3240,Decreased alertness
3241,decreased appetite
3242,decreased axillary and pubic hair
3243,decreased body hair
3244,decreased bowel sounds
3245,DECREASED BREATH SOUNDS
3246,decreased capillary refill time
3247,DECREASED CHEST WALL MOVEMENTS
3248,decreased concentration
3249,decreased coordination
3250,Decreased CrCl
3251,decreased endurance with exercise
3252,Decreased energy
3253,decreased fetal movements
3254,decreased gag and corneal reflexes
3255,decreased gastrointestinal bleeding
3256,Decreased glomerular filtration rate
3257,Decreased heart rate
3258,Decreased high-density- lipoprotein cholesterol
3259,decreased inhibition
3260,decreased level of consciousness
3261,decreased libido
3262,decreased movement of chest
3263,decreased muscle mass
3264,decreased myocardial contractility
3265,decreased pain sensation
3266,Decreased peristalsis
3267,decreased potency
3268,decreased proprioception
3269,decreased range of motion at joints
3270,decreased range of motion of the neck
3271,decreased respiratory rate
3272,decreased response stimulus
3273,decreased school performance
3274,Decreased serum - bicarbonate concentrations
3275,Decreased serum high-density-lipoprotein cholesterol
3276,DECREASED SEX DRIVE
3277,decreased skin turgor
3278,decreased sweat production
3279,decreased sweating
3280,Decreased tactile fremitus
3281,Decreased tear production
3282,decreased testicle size
3283,decreased testicular size
3284,Decreased tolerance of contact lense
3285,decreased urinary output
3286,decreased urine output
3287,Decreased vascular resistance
3288,decreased vibratory sense
3289,decreased visual acuity
3290,Decreased vocal resonance
3291,Decreases B 12 levels
3292,Decreases in lymphocyte counts
3293,Decreases in Red blood cell counts
3294,decreases in white blood cell counts
3295,Decreases platelet adhesiveness
3296,Decreases the latency of sleep onset
3297,decresed deep tendon reflexes
3298,Dedifferentiated liposarcoma
3299,"Deep  haemangiomas, which develop in the lower dermis and subcutis,tend to appear blue or purple, may have no overlying skin changes"
3300,Deep (‘aggressive’) angiomyxoma
3301,deep and wide cupping of the optic disc and nasal shift of the blood vessels
3302,Deep angiomyxoma
3303,Deep benign fibrous histiocytoma
3304,"Deep corneal lesions of various shapes including nodular, vesicular (isolated, in clusters, or confluent) and blister-like lesions"
3305,deep dissecting haematoma
3306,"Deep furrowing is also evident on the trunk, shoulders and limbs (Shar-Pei sign)"
3307,deep granuloma annulare
3308,Deep leiomyoma
3309,deep limb venous thrombosis
3310,deep morphoea
3311,deep mycoses
3312,DEEP PALMAR ABSCESS
3313,deep red erythema
3314,Deep tendon reflexes are increased
3315,deep vein thrombosis
3316,deep venous thrombosis
3317,deepening coma
3318,deepening of the voice
3319,Deeping coma
3320,Deep-vein thrombosis
3321,defect of the ears
3322,defect of the eyes
3323,defect of the internal organs
3324,defective anal sphincter tone
3325,DEFECTIVE EXPRESSION OF MAJOR HISTOCOMPATIBILITY C
3326,Defective oogenesis and spermatogenesis
3327,defective platelet function
3328,DEFECTIVE SPEECH
3329,Defective vision
3330,Defective vision with asthenopic symptoms
3331,Defects of conduction
3332,deficiencies of digestive enzyme secretion
3333,Deficiency glossitis
3334,Deficiency states calcium salts
3335,deformed skin
3336,deformities of the digits
3337,DEFORMITY
3338,"deformity (flexion, adduction and internal rotation)"
3339,deformity in thigh
3340,deformity in throat
3341,deformity of face
3342,degeneration of submucous fibroids
3343,Degenerative changes in retina and choroid
3344,"Degenerative changes in vitreous include: liquefaction, vitreous opacities, and posterior vitreous detachment (PVD) appearing as Weiss’ reflex"
3345,degloving injury
3346,Degos (malignant atrophic papulosis) like lesions
3347,Dehydration
3348,Dehydration and hypotension
3349,dehydration of the brain
3350,delay crawling
3351,delay cry
3352,delay in appearance of secondary sexual characters
3353,delay in closure of sutures
3354,Delay premature labour
3355,delay walking
3356,Delayed and non-union
3357,delayed appearance of signs of puberty
3358,delayed capillary refill
3359,delayed capillary refilling time
3360,delayed closure of fontanel and sutures
3361,Delayed cumulative bone-marrow suppression
3362,Delayed dark adaptation
3363,delayed dental eruption
3364,DELAYED DENTITION; CARIES
3365,Delayed ejaculation
3366,Delayed gastric emptying
3367,delayed growth and sexual development
3368,delayed maturation
3369,Delayed meconium passage
3370,delayed milestones
3371,delayed motor development
3372,delayed motor skills
3373,DELAYED PUBERTY
3374,delayed sexual maturation
3375,delayed skin pinch
3376,DELAYED SPEECH
3377,Delayed tendon reflex relaxation
3378,delayed voiding
3379,delayed wound healing
3380,delayed wound healing
3381,delirium
3382,delirium mania
3383,delirium tremens
3384,DELTA WAVES IN WPW SYNDROME
3385,delusion
3386,Delusional infestation
3387,delusional thinking
3388,Demarcation line formation at the edge of vessels
3389,dematophyte infection
3390,Dementia
3391,Dementia with Lewy Bodies
3392,Deming's sign: Affected testis is positioned high because  of twisting of cord and spasm of cremaster muscle.
3393,demulcent
3394,demyelinating disease of central nervous system
3395,Demyelination
3396,DENASAL SSPEECH
3397,Dendritic ulcer
3398,Dengue with warning signs
3399,Dengue without warning signs
3400,Dense yellowish white deposits may be seen at the sharp leading edge in cornea
3401,Dental abscesses
3402,Dental Caries
3403,dental changes
3404,Dental fluorosis
3405,dental infections
3406,Dental nerve block
3407,Dental pain
3408,dental problem
3409,dentigerous cyst
3410,Dentinal Hypersensitivity
3411,Dentistry
3412,Denture-related stomatitis
3413,depersonalisation
3414,Depersonalization disorder
3415,Depigmentation of periorbital skin
3416,Depigmentation over the shin in late onchocerciasis (leopard skin)
3417,depigmented skin
3418,Depolarisation of skeletal muscle
3419,Deposition of pigment in the skin
3420,Deposition of the calcium salt in the urine
3421,"Deposition of yellowish, well-demarcated, irregular amyloid material in the conjunctiva"
3422,Deposits
3423,"Deposits have been documented in fingers, wrists, elbows, knees, ankles, and feet."
3424,Depressed
3425,depressed nasal bridge in infants
3426,depressed or absent tendon reflexes
3427,depressed plaque
3428,depressed respiration
3429,Depresses the conductivity of the heart
3430,Depression
3431,DEPRESSION
3432,Depression of cortical function
3433,Depression of haematopoiesis
3434,Depression of lymphocytes
3435,depression of the cardiovascular system
3436,depression of the respiratory system
3437,depression of the sternum
3438,Depression of white cell formation
3439,Depression with drowsiness
3440,depressive feelings
3441,depressive psychosis
3442,Depressive symptoms
3443,Depth perception
3444,Dercum disease
3445,"Dermal melanocytic lesions: Mongolian spot, Naevus"
3446,Dermal necrosis
3447,Dermal nerve sheath myxoma
3448,Dermal non-neural granular cell tumour
3449,"Dermal or subcutaneous nodules are most commonly located on the distal lower extremities near the malleoli and may extend proximally to the thighs, buttock, arms or hands"
3450,dermatitis
3451,Dermatitis and eczema of the hands
3452,Dermatitis and eczema of the lower legs
3453,Dermatitis artefacta
3454,"dermatitis commonly involves the  nasolabial folds, nasal ala, nasal bridge, forehead, cheeks and  postauricular regions"
3455,Dermatitis gangrenosa infantum
3456,Dermatitis herpetiformis
3457,"Dermatitis of the face may occur alone or in association  with eczema elsewhere. Facial allergic contact dermatitis from fragrances, hair dyes, preservatives and other constituents of skin- care prod"
3458,Dermatitis simulata
3459,Dermatofi brosarcoma protuberans
3460,dermatofibroma
3461,dermatofibrosarcoma protuberans
3462,Dermatologic Changes
3463,dermatological reactions
3464,Dermatomyofi broma
3465,dermatomyositis
3466,Dermatomyositis
3467,Dermatomyositis and lupus erythematosus
3468,Dermatophyte infections
3469,Dermatophytide
3470,dermatophytoses
3471,Dermatoses
3472,Dermatoses associated with spinal cord injury
3473,Dermatosis papulosa nigra
3474,dermoid cyst
